Semana,Agencia_ID,Canal_ID,Ruta_SAK,Cliente_ID,Producto_ID,Venta_uni_hoy,Venta_hoy,Dev_uni_proxima,Dev_proxima,Demanda_uni_equil
5,1315,1,1061,7701303,4,1,21.32,0,0,1
6,1337,1,2118,1233931,3,3,18.75,0,0,3
9,3212,1,1022,1585190,4,1,13.96,0,0,1
8,1111,1,1022,20364,4,1,13.96,0,0,1
6,2034,1,4406,253364,3,2,16.3,0,0,2
3,1237,1,1203,736146,3,3,22.92,0,0,3
7,2044,1,1110,249266,3,8,67.04,0,0,8
9,2038,1,1216,2249031,1,2,19.2,0,0,2
3,1218,1,1214,4339499,1,1,8.89,0,0,1
7,1239,1,4504,219210,2,6,31.68,0,0,6
3,1459,1,1214,361005,3,4,33.52,0,0,4
8,1120,1,1056,173625,4,1,19.94,0,0,1
6,1152,4,6615,97436,4,2,34.04,0,0,2
9,1112,1,1007,331567,1,9,80.28,0,0,9
5,22090,1,1006,4433162,1,3,28.8,0,0,3
6,1130,1,1421,435598,4,1,18.24,0,0,1
4,1911,1,1061,103298,4,2,42.64,0,0,2
9,1120,1,1454,174665,2,13,97.5,0,0,13
8,1620,1,2818,926741,2,7,43.75,0,0,7
9,1330,1,2852,909721,2,2,15.18,0,0,2
4,1545,1,1212,520949,2,4,18,0,0,4
7,2264,1,1228,1085422,4,2,33.34,0,0,2
7,2024,1,1208,4500036,2,3,22.5,0,0,3
7,1138,1,1103,2485047,3,6,40.56,0,0,6
3,1312,1,1208,2306423,2,10,45,0,0,10
8,1218,1,2110,16420,2,10,62.5,0,0,10
9,1337,1,1022,4743333,4,1,13.94,0,0,1
9,1614,1,1233,2461794,2,4,18,4,18,0
5,2263,1,1025,9765876,4,4,59.04,0,0,4
9,1544,1,1238,4753063,2,2,16.76,0,0,2
8,22414,1,1110,87061,4,2,15.28,0,0,2
8,1473,4,4706,4573191,2,22,185.24,0,0,22
8,1545,1,2001,829373,3,3,15.57,0,0,3
9,1243,1,1013,5905,4,1,18.86,0,0,1
6,2032,1,1264,244222,1,2,35.2,0,0,2
3,1348,1,2803,4294431,1,1,9.99,0,0,1
7,1215,1,1422,4566906,2,41,184.5,0,0,41
3,4046,1,5014,32038,3,5,18.5,0,0,5
3,1227,1,1268,9575,3,4,30.56,0,0,4
4,24049,1,4502,1079869,4,1,8.38,0,0,1
5,1470,1,1047,4485614,4,2,30.02,0,0,2
5,1116,1,1095,118084,4,3,41.82,0,0,3
5,1384,1,1206,558623,2,2,16.76,0,0,2
5,2013,1,1220,2205786,4,1,18.24,0,0,1
9,1631,1,1244,280050,1,2,19.2,0,0,2
8,1622,1,1268,2334212,1,1,17.6,0,0,1
9,1461,1,1204,1434758,2,5,154.55,0,0,5
8,1310,1,1253,1672136,4,2,42.78,0,0,2
4,1615,1,1218,549998,3,0,0,1,8.38,0
3,2036,1,1251,2118201,4,1,7.64,0,0,1
3,1227,1,2822,4291516,2,8,42.24,0,0,8
3,2032,1,2059,7875403,3,3,24.45,0,0,3
6,1215,1,2107,1431978,3,1,15.37,0,0,1
4,24669,1,1204,2062963,4,5,15.1,0,0,5
5,1912,1,2105,100447,2,4,39.96,0,0,4
8,4037,1,1059,4712627,4,2,30.02,0,0,2
5,1127,1,2144,2490792,1,2,23.06,2,23.06,0
4,1914,1,1133,2105045,2,4,18,0,0,4
4,1153,1,1204,1198235,4,7,53.48,0,0,7
9,2012,1,1202,4589021,2,20,90,0,0,20
7,1636,1,2105,285785,1,0,0,3,20.76,0
9,2057,1,1254,1881278,4,3,26.76,0,0,3
6,2055,1,1160,1073561,4,3,50.01,0,0,3
8,1544,1,1117,1800074,2,2,16.76,0,0,2
8,1245,1,1020,313097,4,2,39.88,0,0,2
6,1216,1,4425,2290089,2,4,29.64,0,0,4
4,2030,1,1060,215408,1,10,96,0,0,10
3,1237,1,1202,4329097,4,2,15.28,0,0,2
9,1335,1,1053,2261330,4,1,16.35,0,0,1
8,1613,1,4511,1754684,1,2,12.5,0,0,2
7,2034,1,1621,900374,1,6,36,0,0,6
9,1337,1,1034,377770,4,3,41.88,0,0,3
9,1117,1,1045,58397,1,5,88,0,0,5
5,1532,1,2051,2415530,3,9,26.64,0,0,9
6,2013,1,1220,35581,4,1,10.69,0,0,1
8,2237,1,1140,607178,4,2,15.28,0,0,2
5,1122,1,1445,4205808,2,5,37.5,0,0,5
4,1911,1,2131,91723,1,6,46.68,0,0,6
5,1415,1,1233,4386961,3,1,7.64,0,0,1
3,2012,1,1218,2134601,2,1,7.5,0,0,1
8,3223,7,3338,1626842,4,4,79.76,0,0,4
5,1419,1,1192,1718186,4,10,104.7,0,0,10
7,1631,1,4408,621290,2,15,79.2,0,0,15
9,1137,1,1643,230359,4,5,41.9,0,0,5
4,1631,1,1143,8169713,3,3,25.14,0,0,3
9,2013,1,2861,1863613,3,4,25,0,0,4
8,1336,1,2011,1026146,3,3,24.45,0,0,3
7,2032,1,1266,45977,4,2,6.04,0,0,2
9,4037,1,1219,4596648,3,1,7.64,0,0,1
6,1243,1,1010,752677,4,2,42.78,0,0,2
9,1140,1,1421,2227477,3,1,4.58,0,0,1
8,2015,1,4515,628781,3,1,8.15,0,0,1
8,1111,1,1635,1699384,2,2,8.88,0,0,2
8,1224,1,1616,1834213,2,3,22.77,0,0,3
7,1628,1,2875,4340359,1,1,6.64,0,0,1
8,4051,1,1215,122623,4,1,7.64,0,0,1
4,22090,1,1106,4499412,2,3,13.5,0,0,3
9,2012,1,1153,2465252,4,3,54.72,0,0,3
6,3225,4,6602,2175702,4,4,65.88,0,0,4
4,1629,1,1016,391119,4,1,21.39,0,0,1
